ID;CREDPAY;MEST;CHLICO;DOXODSN;DENRAS
12032;0;1;2;67796,5;66796,5
12034;20000;1;2;119632,5;97132,5
12035;0;1;1;53078;50578
12036;0;1;3;149980,5;142480,5
12037;8100;1;3;92617,02;83817,02
12038;0;1;2;42748,86;42248,86
12039;0;1;1;53665,95;50665,95
12040;0;1;1;45748,41;45748,41
12041;35418;1;3;106627,1;51209,1
12042;22776,51;1;3;97179,35;64402,84
12043;0;1;1;62515,93;62315,93
12045;0;1;1;51147,26;51147,26
12046;0;1;1;40628,25;40628,25
12047;35100;1;2;227883,63;492783,63
12048;24000;1;2;103485,2;69485,2
12049;0;1;2;45838,05;45838,05
12051;0;1;1;45075,5;45075,5
12092;0;1;3;94650,42;94250,42
12093;0;1;2;92296,83;92196,83
12094;0;1;2;109265,29;86765,29
12095;0;1;3;159999,5;157499,5
12096;10000;1;2;74298,75;84298,75
12097;0;1;4;54906;54806
12098;0;1;4;79348,5;78848,5
12099;0;1;5;78006;77556
12100;0;1;3;115687,47;115687,47
12101;0;1;2;61643,66;61643,66
12102;3900;1;1;77771,96;73871,96
12103;0;1;3;115604,99;115104,99
12104;45900;1;3;142051,92;96151,92
12105;9000;1;2;49932,94;38932,94
12106;9000;1;2;62958,83;53958,83
12107;0;1;2;86270;85270
12108;0;1;1;134622,5;132622,5
12109;46922;1;4;242297;194375
12110;0;1;2;99485;98485
12111;0;1;1;50111,5;47611,5
12112;0;1;2;140040,5;132540,5
12114;3480;1;2;115151;104171
12116;11950;1;1;40262,13;27812,13
12117;0;1;2;70502,67;65502,67
12118;10800;1;4;132691,94;121291,94
12119;0;1;3;97829,33;97229,33
12120;0;1;2;71006,07;71006,07
12123;0;1;2;100839,8;73339,8
12124;0;1;2;111645,25;109145,25
12125;0;1;2;73005,31;72505,31
12126;15000;1;3;163236,25;162236,25
12127;0;1;4;120441,31;118441,31
12128;0;1;2;145828,09;242828,09
12129;0;1;2;208645,97;153645,97
12132;37280;1;3;195830,27;158550,27
12133;0;1;2;167609,73;167609,73
12134;0;1;1;59378,81;59378,81
12136;2750;1;1;45124;42374
12138;0;1;2;78960,05;78960,05
12140;0;1;1;35912,85;35912,85
12142;19500;1;3;117326,5;87826,5
12143;0;1;2;73975,25;71475,25
12144;24000;1;2;107601,5;81101,5
12145;0;1;3;145557,5;145557,5
12185;0;1;2;67561,68;66761,68
12186;0;1;2;84095,31;83095,31
12189;0;1;2;81161,98;81161,98
12192;0;1;2;197339,02;197039,02
12195;0;1;2;97016,5;79516,5
12196;0;1;1;144889,5;144189,5
12200;30768;1;2;83455,99;52687,99
12201;5751;1;2;63525,52;57774,52
12202;10200;1;3;60916,88;40716,88
12203;19000;1;3;101833,53;79833,53
12205;0;1;3;56465,5;55465,5
12208;31500;1;3;241578;197578
12209;12000;1;4;182910;148410
12210;14700;1;2;189051;166851
12212;0;1;3;179014,5;166514,5
12217;68000;1;1;133536,32;65036,32
12218;0;1;2;77099,09;92099,09
12223;0;1;1;39556,88;37056,88
12224;0;1;1;64756,04;64256,04
12225;0;1;2;223706,78;203706,78
12228;10200;1;2;178806,53;148606,53
12229;0;1;2;51276,81;51276,81
12231;0;1;2;54687,41;54687,41
12232;0;1;2;77953,66;77953,66
12238;16500;1;4;108244,85;71744,85
12239;0;1;1;46808,15;46808,15
12240;0;1;1;30317;27817
12287;0;1;2;75378,89;74778,89
12288;0;1;1;73123,84;72623,84
12290;0;1;2;67837,2;60337,2
12291;30000;1;3;64553,98;62053,98
12292;0;1;3;42102,5;41802,5
12293;0;1;6;78787;78687
12295;0;1;1;60392,56;60392,56
12296;6300;1;4;117174,33;105874,33
12299;60790,2;1;2;120856,29;58066,09
12300;7600;1;2;180788;133188
12303;29100;1;2;77476,8;48376,8
12304;3600;1;3;44782,78;41182,78
12306;12038,7;1;3;101278,68;59239,98
12307;0;1;1;47627,5;46627,5
12310;0;1;1;55960,2;53460,2
12312;0;1;3;115769,5;108269,5
12314;0;1;1;37663,61;35663,61
12318;0;1;1;158905,7;156405,7
12319;0;1;2;81672,27;69172,27
12320;0;1;1;55155,59;43155,59
12321;0;1;1;45113,75;44613,75
12322;0;1;3;194281,55;187281,55
12323;25000;1;3;196369,33;156369,33
12325;0;1;1;44757,26;44757,26
12326;0;1;2;52243,71;50543,71
12327;0;1;1;33752,92;33752,92
12328;303600;1;3;128880,25;65280,25
12329;0;1;2;102009,55;102009,55
12330;0;1;2;95545,7;95545,7
12336;0;1;1;47725,5;46725,5
12395;0;1;2;76804,79;76304,79
12398;0;1;2;113712,2;113712,2
12399;0;1;1;39327;31827
12401;0;1;3;23316,25;23016,25
12403;0;1;2;73356,5;72856,5
12404;0;1;4;53531,5;52531,5
12409;0;1;2;65138,55;65038,55
12410;0;1;3;124724,09;114724,09
12411;0;1;2;57464,67;56964,67
12413;6600;1;1;70578,08;61978,08
12414;33360;1;2;84781,26;49921,26
12415;54934,2;1;3;108156,14;44221,94
12416;6312;1;2;54694,59;46382,59
12418;0;1;1;55307;54307
12421;5700;1;1;83601,5;75401,5
12429;6000;1;2;73169,74;65169,74
12431;0;1;1;96559,66;96559,66
12435;8000;1;2;157693,51;148193,51
12437;0;1;2;59832,71;59332,71
12439;0;1;1;32961,62;32961,62
12440;0;1;1;54063,29;54063,29
12443;0;1;2;182986,45;248036,45
12444;0;1;2;73015,96;76015,96
12445;0;1;2;48130,95;48130,95
12447;0;1;2;49394,4;49394,4
12448;0;1;1;42649;60649
12449;0;1;1;46871,5;46871,5
12450;1933;1;2;126806,5;147092,5
12495;0;1;3;104773,58;104173,58
12496;0;1;4;133760,03;132760,03
12502;0;1;2;102815,41;100815,41
12503;0;1;3;137760,76;136560,76
12506;0;1;1;53286,58;53286,58
12509;28800;1;2;104587,27;73787,27
12510;46776;1;1;94247,06;41471,06
12514;21500;1;4;225645,5;196645,5
12516;12520;1;4;206002;180982
12519;30000;1;4;132578,45;102078,45
12520;0;1;3;98152,9;95152,9
12521;0;1;3;138675,75;138675,75
12522;3300;1;3;93096,1;81796,1
12525;0;1;2;78340,5;75840,5
12527;0;1;2;49014,88;48314,88
12531;0;1;1;44076,55;43276,55
12532;16500;1;3;224662,72;253162,72
12533;0;1;2;116071,08;116071,08
12536;0;1;2;31023,45;31023,45
12537;20000;1;1;48883,75;28883,75
12538;13500;1;3;105405,5;91905,5
12540;0;1;1;64545,5;63545,5
12542;0;1;4;80812;80812
12544;15285;1;1;56428;41143
12590;0;1;2;90592,45;90092,45
12592;0;1;2;80557,85;79857,85
12596;31500;1;2;124931,5;93431,5
12599;0;1;2;61402,75;61002,75
12600;0;1;2;28661,5;28161,5
12606;0;1;2;89726,9;88726,9
12608;0;1;1;75373,23;75373,23
12610;13470;1;4;91158,35;59688,35
12615;0;1;4;122922,5;121922,5
12621;0;1;5;98711,85;98211,85
12631;0;1;1;53235,17;50735,17
12635;0;1;2;76644,31;76644,31
12636;0;1;1;32697,98;32697,98
12640;0;1;2;72067,54;72067,54
12648;0;1;1;39967;37467
12698;0;1;2;201613;174113
12699;0;1;2;80697,54;78197,54
12701;0;1;2;59664,5;59664,5
12706;0;1;2;36052;35652
12718;0;1;1;28760;97760
12723;0;1;1;89963;77463
12739;0;1;2;72363,93;69863,93
12740;0;1;1;29050,13;29050,13
12746;0;1;1;32154,25;32154,25
12793;0;1;1;50141,75;49441,75
12794;0;1;2;58028,22;57728,22
12795;0;1;2;92140,39;91840,39
12801;3600;1;1;56175,32;52575,32
12806;15150;1;2;69681,79;53031,79
12807;0;1;1;114626,5;113626,5
12808;15900;1;2;94347;77447
12815;0;1;1;42617,42;42017,42
12817;0;1;1;38361,84;33361,84
12819;0;1;1;46015,78;46015,78
12824;0;1;1;34571,48;33571,48
12826;0;1;2;128139,28;128139,28
12827;0;1;1;86452,92;86452,92
12830;0;1;1;59152,91;59152,91
12831;0;1;3;63141,8;63141,8
12834;0;1;3;63752;46252
12835;0;1;1;26822,5;23822,5
12884;0;1;1;59877,71;58877,71
12898;15000;1;4;146639,5;124139,5
12901;0;1;1;60260,72;56260,72
12909;0;1;1;41506,15;41206,15
12916;19000;1;1;81676,77;92676,77
12928;0;1;2;74572;62072
12970;0;1;3;89846,31;99346,31
12971;0;1;2;70639,2;69639,2
12981;0;1;1;95367,64;83367,64
12993;0;1;2;84180;83180
13000;0;1;3;59521,5;58521,5
13006;0;1;3;149229,71;148929,71
13011;0;1;3;88346,68;85346,68
13014;0;1;1;50238,29;49938,29
13019;0;1;2;91626,34;84126,34
13026;0;1;1;45150,76;95150,76
13033;0;1;1;67508,15;67508,15
13037;0;1;1;77438,05;77438,05
13079;0;1;3;99866,01;99366,01
13084;0;1;4;65444,75;65194,75
13089;0;1;2;98069,15;98069,15
13093;49224;1;2;108103,81;55879,81
13097;12600;1;2;79663,52;66063,52
13119;0;1;1;26117,85;26117,85
13124;3600;1;4;97907;94307
13168;0;1;2;89978,71;89478,71
13181;0;1;2;55315,25;54965,25
13189;8100;1;4;86273,38;52173,38
13191;5934,4;1;3;47409,22;41474,82
13194;0;1;2;86653;85653
13196;39000;1;4;139910;99910
13203;0;1;2;77510,23;782510,23
13205;9120;1;2;76745,87;57625,87
13220;0;1;2;31949,85;31949,85
13267;0;1;2;88564,13;87764,13
13272;45000;1;3;176803;129303
13289;60000;1;4;223593,52;153593,52
13310;0;1;2;46196;46196
13372;0;1;2;119165,5;119165,5
13373;15000;1;1;65373,55;50373,55
13437;0;1;4;48627,25;48127,25
11787;370023;2;4;353610,5;226087,5
11788;0;2;1;41362,5;61362,5
11789;1000;2;2;246598,5;245598,5
11790;3700;2;2;198320,45;194620,45
11791;15900;2;1;95617,88;84717,88
11792;0;2;2;84338,16;76838,16
11793;0;2;1;41866,5;39366,5
11794;0;2;2;68826,5;58826,5
11795;0;2;2;79829,98;64829,98
11796;0;2;2;49003,44;80003,44
11797;0;2;2;38906,26;38906,26
11798;0;2;2;40711,55;40711,55
11799;52350;2;5;173658,06;115408,06
11800;0;2;3;53350,6;53050,6
11801;0;2;3;44205,97;37205,97
11802;7500;2;1;64949,06;55049,06
11803;22140;2;3;74937,94;45497,94
11804;0;2;2;161666;160466
11805;0;2;2;69570,5;76070,5
11806;0;2;2;90029,5;88029,5
11807;0;2;2;146436;61436
11808;0;2;4;118983,5;118683,5
11809;13400;2;3;91331;68931
11810;0;2;2;50138,5;47638,5
11811;0;2;1;34764,09;44264,09
11812;4000;2;2;55321,71;65321,71
11813;0;2;3;35695;32695
11814;0;2;3;104126,29;101326,29
11815;4459,6;2;1;38123,94;32764,34
11816;0;2;2;97427,11;73427,11
11817;0;2;2;87416,5;103416,5
11818;16800;2;5;148661,75;107861,75
11819;8700;2;2;77908,15;148708,15
11820;6700;2;4;74449,85;57749,85
11821;0;2;2;229834,53;199834,53
11822;0;2;2;144520,5;139520,5
11823;0;2;4;135413;122913
11824;12000;2;2;95755,5;71255,5
11825;0;2;2;126630;114130
11895;23000;2;2;81273,5;58273,5
11898;0;2;2;90145,37;90145,37
11899;0;2;2;81259,86;73759,86
11900;0;2;1;40133,9;50133,9
11901;13500;2;1;41311,5;25811,5
11902;0;2;2;65017;48417
11903;0;2;2;94086,5;87586,5
11905;0;2;5;125417,56;125417,56
11906;0;2;3;51753,68;51753,68
11909;0;2;1;45692,55;39092,55
11910;5400;2;1;62917,87;56217,87
11911;0;2;6;96757,26;88757,26
11912;13200;2;2;54813,77;37613,77
11914;7128;2;1;52841,5;43713,5
11916;15400;2;2;70718,4;80018,4
11917;0;2;2;68265,5;43265,5
11918;0;2;2;40374;37874
11919;0;2;2;76765,57;70065,57
11920;0;2;2;63881,33;62181,33
11921;0;2;4;101560,8;57560,8
11922;0;2;5;89965,86;56965,86
11962;0;2;1;46433;27433
11963;0;2;2;87146,5;77146,5
11965;0;2;1;48894,24;47394,24
11966;26400;2;3;145750,14;111850,14
11967;0;2;1;49568,64;49568,64
11968;0;2;2;66006,1;63506,1
11969;0;2;4;155141,54;147641,54
11970;0;2;1;47672,3;52672,3
11971;0;2;1;67152;42152
11972;0;2;3;56299,65;43299,65
11973;0;2;4;62789,52;37789,52
11974;0;2;5;77455,1;77455,1
11975;0;2;2;91330,8;76330,8
11976;0;2;4;48743,5;43743,5
11977;20000;2;3;152078;129578
11978;18000;2;2;76978;58478
11979;0;2;1;17132;17132
11981;0;2;1;38786;28786
11982;3000;2;2;156347,5;146347,5
11983;0;2;2;52440,5;49940,5
11984;0;2;3;72471;69971
11985;0;2;1;27279,5;27279,5
11986;0;2;1;43155,5;42655,5
11987;18600;2;3;184475,39;155875,39
11988;0;2;1;53057,64;51057,64
11989;0;2;2;83266,5;78266,5
11990;0;2;2;93832,5;81332,5
11991;0;2;1;30745,4;30245,4
11992;23370;2;2;76624,93;58254,93
11993;11021;2;3;71905,24;59384,24
11994;19680;2;2;130933,46;139753,46
11996;0;2;1;31246,95;29046,95
11997;34020;2;2;85748,03;51128,03
11998;0;2;4;140738,63;110738,63
11999;0;2;2;53259,24;51259,24
12000;0;2;2;68031,62;65031,62
12002;0;2;5;150844,75;100844,75
12003;15000;2;2;86694,47;68694,47
12004;96100;2;2;217488,53;119388,53
12005;0;2;3;36441,6;26441,6
12006;0;2;4;125051;97551
12008;33800;2;4;166353;115053
12009;0;2;2;145686,5;145686,5
12053;30000;2;4;107644;87644
12054;0;2;1;58610,14;56110,14
12056;0;2;4;224553,44;212053,44
12058;0;2;2;75718;60218
12059;18000;2;2;113080;86580
12060;0;2;3;60697;59197
